{1001: 288237, 1002: 300000},
{1001: 276454, 1002: 300000},
{1001: 264683, 1002: 300000},
{1001: 252850, 1002: 300000},
{1001: 241037, 1002: 300000},
{1001: 229184, 1002: 300000},
{1001: 217278, 1002: 300000},
{1001: 205345, 1002: 300000},
{1001: 193495, 1002: 300000},
{1001: 181726, 1002: 300000},
{1001: 169879, 1002: 300000},
{1001: 158065, 1002: 300000},
{1001: 146276, 1002: 300000},
{1001: 134470, 1002: 300000},
{1001: 122555, 1002: 300000},
{1001: 110615, 1002: 300000},
{1001: 98628, 1002: 300000},
{1001: 86767, 1002: 300000},
{1001: 74954, 1002: 300000},
{1001: 63112, 1002: 300000},
{1001: 51288, 1002: 300000},
{1001: 39503, 1002: 300000},
{1001: 27730, 1002: 300000},
{1001: 15881, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 43389, 1002: 300000, 2001: 0},
{1001: 31556, 1002: 300000, 2001: 0},
{1001: 19769, 1002: 300000, 2001: 86781},
{1001: 94810, 1002: 300000, 2001: 86781},
{1001: 169899, 1002: 300000, 2001: 11876},
{1001: 170130, 1002: 300000, 2001: 23768},
{1001: 182264, 1002: 300000, 2001: 0},
{1001: 170594, 1002: 300000, 2001: 0},
{1001: 158892, 1002: 300000, 2001: 86810},
{1001: 233994, 1002: 300000, 2001: 35637},
{1001: 257879, 1002: 300000, 2001: 35637},
{1001: 281786, 1002: 300000, 2001: 86818},
{1001: 356836, 1002: 300000, 2001: 35637},
{1001: 380678, 1002: 300000, 2001: 0},
{1001: 368908, 1002: 300000, 2001: 0},
{1001: 357143, 1002: 300000, 2001: 35637},
{1001: 380985, 1002: 300000, 2001: 35637},
{1001: 404823, 1002: 300000, 2001: 35637},
{1001: 428673, 1002: 300000, 2001: 35637},
{1001: 452560, 1002: 300000, 2001: 35637},
{1001: 476499, 1002: 300000, 2001: 35637},
{1001: 500395, 1002: 300000, 2001: 35637},
{1001: 524247, 1002: 300000, 2001: 35637},
{1001: 548074, 1002: 300000, 2001: 35637},
{1001: 571859, 1002: 300000, 2001: 35637},
{1001: 595675, 1002: 300000, 2001: 35637},
{1001: 619456, 1002: 300000, 2001: 35637},
{1001: 643274, 1002: 300000, 2001: 35637},
{1001: 667079, 1002: 300000, 2001: 35637},
{1001: 690989, 1002: 300000, 2001: 35637},
{1001: 714922, 1002: 300000, 2001: 35637},
{1001: 738861, 1002: 300000, 2001: 35637},
{1001: 762846, 1002: 300000, 2001: 35637},
{1001: 786781, 1002: 300000, 2001: 35637},
{1001: 810697, 1002: 300000, 2001: 35637},
{1001: 834479, 1002: 300000, 2001: 35637},
{1001: 858246, 1002: 300000, 2001: 35637},
{1001: 882000, 1002: 300000, 2001: 35637},
{1001: 905829, 1002: 300000, 2001: 35637},
{1001: 929700, 1002: 300000, 2001: 35637},
{1001: 953546, 1002: 300000, 2001: 35637},
{1001: 977368, 1002: 300000, 2001: 35637},
{1001: 1001175, 1002: 300000, 2001: 35637},
{1001: 1024930, 1002: 300000, 2001: 35637},
{1001: 1048699, 1002: 300000, 2001: 35637},
{1001: 1072504, 1002: 300000, 2001: 35637},
{1001: 1096278, 1002: 300000, 2001: 35637},
{1001: 1120014, 1002: 300000, 2001: 35637},
{1001: 1143786, 1002: 300000, 2001: 35637},
{1001: 1167533, 1002: 300000, 2001: 35637},
{1001: 1191270, 1002: 300000, 2001: 35637},
{1001: 1214985, 1002: 300000, 2001: 35637},
{1001: 1238642, 1002: 300000, 2001: 35637},
{1001: 1262311, 1002: 300000, 2001: 35637},
{1001: 1285882, 1002: 300000, 2001: 35637},
{1001: 1309368, 1002: 300000, 2001: 35637},
{1001: 1332846, 1002: 300000, 2001: 35637},
{1001: 1356355, 1002: 300000, 2001: 35637},
{1001: 1379878, 1002: 300000, 2001: 35637},
{1001: 1403406, 1002: 300000, 2001: 35637},
{1001: 1426928, 1002: 300000, 2001: 35637},
