{1001: 288216, 1002: 300000},
{1001: 276475, 1002: 300000},
{1001: 264750, 1002: 300000},
{1001: 253004, 1002: 300000},
{1001: 241258, 1002: 300000},
{1001: 229512, 1002: 300000},
{1001: 217700, 1002: 300000},
{1001: 205816, 1002: 300000},
{1001: 193943, 1002: 300000},
{1001: 182055, 1002: 300000},
{1001: 170151, 1002: 300000},
{1001: 158255, 1002: 300000},
{1001: 146291, 1002: 300000},
{1001: 134321, 1002: 300000},
{1001: 122335, 1002: 300000},
{1001: 110300, 1002: 300000},
{1001: 98249, 1002: 300000},
{1001: 86242, 1002: 300000},
{1001: 74196, 1002: 300000},
{1001: 62130, 1002: 300000},
{1001: 50045, 1002: 300000},
{1001: 37957, 1002: 300000},
{1001: 25887, 1002: 300000},
{1001: 13758, 1002: 300000},
{1001: 1676, 1002: 300000},
{1001: 1676, 1002: 300000},
{1001: 1676, 1002: 300000},
{1001: 1676, 1002: 300000},
{1001: 41023, 1002: 300000, 2001: 0},
{1001: 28964, 1002: 300000, 2001: 0},
{1001: 16795, 1002: 300000, 2001: 87433},
{1001: 92058, 1002: 300000, 2001: 87513},
{1001: 167453, 1002: 300000, 2001: 0},
{1001: 155372, 1002: 300000, 2001: 0},
{1001: 143249, 1002: 300000, 2001: 0},
{1001: 131106, 1002: 300000, 2001: 0},
{1001: 118884, 1002: 300000, 2001: 0},
{1001: 106672, 1002: 300000, 2001: 0},
{1001: 94469, 1002: 300000, 2001: 0},
{1001: 82281, 1002: 300000, 2001: 0},
{1001: 70069, 1002: 300000, 2001: 0},
{1001: 57805, 1002: 300000, 2001: 0},
{1001: 45576, 1002: 300000, 2001: 0},
{1001: 33378, 1002: 300000, 2001: 0},
{1001: 21236, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
{1001: 9035, 1002: 300000, 2001: 0},
